"Date d'admission","Hors soins intensifs","Aux soins intensifs"
"2020-11-08 00:00:00",13,5
"2020-11-09 00:00:00",15,4
"2020-11-10 00:00:00",11,0
"2020-11-11 00:00:00",13,4
"2020-11-12 00:00:00",15,2
"2020-11-13 00:00:00",15,2
"2020-11-14 00:00:00",11,2
"2020-11-15 00:00:00",10,4
"2020-11-16 00:00:00",20,2
"2020-11-17 00:00:00",15,3
"2020-11-18 00:00:00",18,2
"2020-11-19 00:00:00",11,2
"2020-11-20 00:00:00",16,4
"2020-11-21 00:00:00",9,6
"2020-11-22 00:00:00",13,3
"2020-11-23 00:00:00",11,2
"2020-11-24 00:00:00",18,4
"2020-11-25 00:00:00",21,4
"2020-11-26 00:00:00",15,5
"2020-11-27 00:00:00",21,4
"2020-11-28 00:00:00",17,8
"2020-11-29 00:00:00",12,5
"2020-11-30 00:00:00",16,4
"2020-12-01 00:00:00",25,8
"2020-12-02 00:00:00",21,3
"2020-12-03 00:00:00",20,2
"2020-12-04 00:00:00",20,4
"2020-12-05 00:00:00",24,1
"2020-12-06 00:00:00",17,1
"2020-12-07 00:00:00",21,7
"2020-12-08 00:00:00",38,3
"2020-12-09 00:00:00",23,4
"2020-12-10 00:00:00",23,7
"2020-12-11 00:00:00",34,5
"2020-12-12 00:00:00",36,6
"2020-12-13 00:00:00",31,4
"2020-12-14 00:00:00",36,6
"2020-12-15 00:00:00",40,6
"2020-12-16 00:00:00",33,4
"2020-12-17 00:00:00",25,4
"2020-12-18 00:00:00",30,7
"2020-12-19 00:00:00",36,10
"2020-12-20 00:00:00",20,6
"2020-12-21 00:00:00",35,4
"2020-12-22 00:00:00",39,8
"2020-12-23 00:00:00",32,7
"2020-12-24 00:00:00",28,7
"2020-12-25 00:00:00",31,9
"2020-12-26 00:00:00",51,9
"2020-12-27 00:00:00",38,9
"2020-12-28 00:00:00",39,15
"2020-12-29 00:00:00",44,15
"2020-12-30 00:00:00",42,7
"2020-12-31 00:00:00",43,10
"2021-01-01 00:00:00",45,8
"2021-01-02 00:00:00",41,6
"2021-01-03 00:00:00",41,11
"2021-01-04 00:00:00",49,10
"2021-01-05 00:00:00",36,7
"2021-01-06 00:00:00",53,10
"2021-01-07 00:00:00",52,13
"2021-01-08 00:00:00",36,6
"2021-01-09 00:00:00",42,8
"2021-01-10 00:00:00",33,13
"2021-01-11 00:00:00",52,9
"2021-01-12 00:00:00",35,14
"2021-01-13 00:00:00",46,4
"2021-01-14 00:00:00",38,6
"2021-01-15 00:00:00",35,9
"2021-01-16 00:00:00",31,7
"2021-01-17 00:00:00",38,4
"2021-01-18 00:00:00",36,9
"2021-01-19 00:00:00",48,11
"2021-01-20 00:00:00",39,8
"2021-01-21 00:00:00",33,11
"2021-01-22 00:00:00",18,5
"2021-01-23 00:00:00",21,12
"2021-01-24 00:00:00",24,7
"2021-01-25 00:00:00",34,4
"2021-01-26 00:00:00",23,6
"2021-01-27 00:00:00",25,4
"2021-01-28 00:00:00",18,2
